RegionID,Date,RegionName,State,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
394391,6/30/2019,"Blackfoot, ID",ID,585,210300,0.004297994,0.024354603,0.201027984,0.093024448,0.048471905,2019-06,2019-Q2,210300,0,2019-06
394883,6/30/2019,"Moultrie, GA",GA,586,94500,0,-0.001057082,0.156670747,0.049555915,0.017434519,2019-04,2019-Q2,94700,-0.002111932,2019-03
394677,6/30/2019,"Henderson, NC",NC,587,89600,0.014722537,0.017026107,0.06035503,0.01888125,-0.009022258,2006-12,2006-Q4,107100,-0.163398693,2003-07
394482,6/30/2019,"Coldwater, MI",MI,588,104800,0.003831418,0.004793864,0.074871795,0.070921578,0.025212571,2019-02,2019-Q1,105000,-0.001904762,2019-01
394667,6/30/2019,"Harrison, AR",AR,589,115000,0.003490401,0.000870322,0.06284658,0.049315002,0.024247532,2019-06,2019-Q2,115000,0,2019-06
395037,6/30/2019,"Rolla, MO",MO,590,140000,0.002147459,0.008645533,0.082753287,0.046200619,,2019-06,2019-Q2,140000,0,2019-06
395091,6/30/2019,"Shelbyville, TN",TN,591,151900,0.016733601,0.042553191,0.095959596,0.094526447,0.050852119,2019-06,2019-Q2,151900,0,2019-06
394545,6/30/2019,"Duncan, OK",OK,592,67900,0.007418398,0.011922504,0.052713178,0.021663758,0.012614857,2019-06,2019-Q2,67900,0,2019-06
753904,6/30/2019,"Marion, NC",NC,593,135600,-0.010218978,-0.026561378,0.076190476,0.059640941,0.023779645,2019-02,2019-Q1,139800,-0.030042918,2018-10
395008,6/30/2019,"Pullman, WA",WA,594,255100,0.003540519,0.008699091,0.077280405,0.059251524,,2019-06,2019-Q2,255100,0,2019-06
395155,6/30/2019,"Thomasville, GA",GA,595,123000,0.001628664,0.004081633,0.126373626,0.049290468,0.018002803,2019-01,2019-Q1,123400,-0.003241491,2019-01
394379,6/30/2019,"Bemidji, MN",MN,596,163000,0.004313001,0.00617284,0.089572193,0.037493974,0.023828404,2019-01,2019-Q1,163100,-0.000613121,2019-01
394887,6/30/2019,"Mount Sterling, KY",KY,597,113000,-0.004405286,-0.023336214,0.011638317,0.045871042,0.024508303,2019-02,2019-Q1,116300,-0.028374893,2018-08
394947,6/30/2019,"Ottumwa, IA",IA,598,81400,0.002463054,-0.001226994,0.039591315,0.035413113,0.020269767,2019-02,2019-Q1,81600,-0.00245098,2019-01
394850,6/30/2019,"Menomonie, WI",WI,599,167400,0.005405405,0.012704174,0.091976517,0.064446585,0.027439967,2019-06,2019-Q2,167400,0,2019-06
395032,6/30/2019,"Rock Springs, WY",WY,600,218800,-0.005906406,-0.01530153,-0.008159565,0.0331267,0.024895841,2018-11,2018-Q4,225000,-0.027555556,2016-05
394409,6/30/2019,"Bradford, PA",PA,601,62400,0.004830918,0.006451613,0.046979866,0.026315307,0.01742529,2019-06,2019-Q2,62400,0,2019-06
753865,6/30/2019,"Bardstown, KY",KY,602,159300,0.003148615,0.004413619,0.043905636,0.071663334,0.035211734,2019-01,2019-Q1,159400,-0.000627353,2019-01
394500,6/30/2019,"Cornelia, GA",GA,603,151500,0.013377926,0.02020202,0.080599144,0.061333865,0.014412964,2019-06,2019-Q2,151500,0,2019-06
394426,6/30/2019,"Burley, ID",ID,604,176200,-0.002265006,0.003416856,0.100562149,0.105110333,0.060636833,2019-05,2019-Q2,176600,-0.002265006,2019-04
394384,6/30/2019,"Big Rapids, MI",MI,605,108200,0.00744879,0.005576208,0.12591051,0.062517511,0.02988616,2019-06,2019-Q2,108200,0,2019-06
394993,6/30/2019,"Poplar Bluff, MO",MO,606,126200,-0.00394633,-0.002371542,0.079555175,0.05188111,0.032788316,2019-04,2019-Q2,126900,-0.005516154,2019-03
394895,6/30/2019,"Muscatine, IA",IA,607,142100,0.004240283,-0.001405481,0.009232955,0.037341772,0.017899056,2018-12,2018-Q4,144300,-0.015246015,2018-10
394319,6/30/2019,"Alma, MI",MI,608,88500,0.006825939,0.005681818,0.047337278,0.061068631,,2019-01,2019-Q1,88700,-0.002254791,2018-12
394548,6/30/2019,"Durant, OK",OK,609,105800,0,0.001893939,0.021235521,0.049234273,0.029641071,2018-11,2018-Q4,106000,-0.001886792,2018-11
395087,6/30/2019,"Seymour, IN",IN,610,135400,0,0.003706449,0.078025478,0.054998353,0.036398721,2019-06,2019-Q2,135400,0,2019-06
394538,6/30/2019,"Douglas, GA",GA,611,84100,0.003579952,0.014475271,0.052565707,0.037680759,0.011652637,2019-06,2019-Q2,84100,0,2019-06
395228,6/30/2019,"Willmar, MN",MN,612,169000,0.003562945,0.013189448,0.091026469,0.043640227,0.024013437,2019-06,2019-Q2,169000,0,2019-06
395081,6/30/2019,"Sedalia, MO",MO,613,95000,-0.001051525,-0.031600408,-0.016563147,0.056129228,,2018-11,2018-Q4,100600,-0.055666004,2018-04
394961,6/30/2019,"Paragould, AR",AR,614,105100,0.000952381,-0.003791469,0.041625372,0.04910617,0.031733751,2012-07,2012-Q3,106000,-0.008490566,2012-07
395230,6/30/2019,"Wilmington, OH",OH,615,137200,-0.000728332,0.001459854,0.053763441,0.04272981,-0.001374393,2007-07,2007-Q3,148000,-0.072972973,2006-10
394779,6/30/2019,"Lawrenceburg, TN",TN,616,103200,0.004868549,0.0078125,0.078369906,0.06253916,0.038546696,2019-06,2019-Q2,103200,0,2019-06
394891,6/30/2019,"Mountain Home, AR",AR,617,132600,0.003785011,0.00990099,0.034321373,0.029069482,0.01478445,2019-06,2019-Q2,132600,0,2019-06
394448,6/30/2019,"Cedartown, GA",GA,618,97500,0.00931677,0.008273009,0.083333333,0.062808808,0.019597841,2005-01,2005-Q1,112700,-0.13487134,
753913,6/30/2019,"Port Clinton, OH",OH,619,143700,0.001393728,0,0.087812263,0.032607013,0.018868302,2019-01,2019-Q1,144600,-0.006224066,2019-01
394558,6/30/2019,"El Campo, TX",TX,620,133200,0,-0.011135857,0.025404157,0.055240107,0.036133546,2018-12,2018-Q4,135500,-0.01697417,2018-09
394876,6/30/2019,"Montrose, CO",CO,621,263200,0.002666667,0.008042895,0.164086687,0.088302745,0.028666086,2019-06,2019-Q2,263200,0,2019-06
394567,6/30/2019,"Ellensburg, WA",WA,622,305900,0.005257969,0.012243547,0.109137056,0.072174236,0.031836218,2019-06,2019-Q2,305900,0,2019-06
